Benchmark,Data Cache,D$ Bytes Read,D$ Bytes Written,D$ Read Accesses,D$ Write Accesses,D$ Read Misses,D$ Write Misses,D$ Writebacks,D$ Miss Rate
bfs_matrix,4096:1:32,7639783,4340310,1912534,1085235,129159,128242,129248,8.586%
bfs_pointer,4096:1:32,297361,132180,76933,33192,59,2481,17,2.306%
conv2D,4096:1:32,3325479,1220578,833940,305293,92,5074,1007,0.453%
fir,4096:1:32,27163089,15053144,6793348,3763456,18797,51286,50641,0.664%
kmean,4096:1:32,39450765,8338606,9865279,2084826,4524,14596,13704,0.160%
mm,4096:1:32,8399467,4416818,2102419,1104347,8165,7624,4668,0.492%
quicksort,4096:1:32,12497859,12511653,3128446,3131433,6422,21847,22859,0.452%
sobel,4096:1:32,5781465,2145012,1818292,538346,1598,13132,9727,0.625%
bfs_matrix,8192:1:32,7639783,4340310,1912534,1085235,128232,128126,128868,8.552%
bfs_pointer,8192:1:32,297361,132180,76933,33192,59,2481,17,2.306%
conv2D,8192:1:32,3325479,1220578,833940,305293,60,5042,18,0.448%
fir,8192:1:32,27163089,15053144,6793348,3763456,8617,50782,50084,0.563%
kmean,8192:1:32,39450765,8338606,9865279,2084826,545,10550,2587,0.093%
mm,8192:1:32,8399467,4416818,2102419,1104347,69,7483,29,0.236%
quicksort,8192:1:32,12497859,12511653,3128446,3131433,1120,19912,12339,0.336%
sobel,8192:1:32,5781465,2145012,1818292,538346,193,10919,2774,0.472%
bfs_matrix,16384:1:32,7639783,4340310,1912534,1085235,125718,128035,128512,8.465%
bfs_pointer,16384:1:32,297361,132180,76933,33192,59,2481,17,2.306%
conv2D,16384:1:32,3325479,1220578,833940,305293,60,5042,18,0.448%
fir,16384:1:32,27163089,15053144,6793348,3763456,8375,42975,34437,0.486%
kmean,16384:1:32,39450765,8338606,9865279,2084826,125,10479,79,0.089%
mm,16384:1:32,8399467,4416818,2102419,1104347,69,7483,27,0.236%
quicksort,16384:1:32,12497859,12511653,3128446,3131433,376,19461,3208,0.317%
sobel,16384:1:32,5781465,2145012,1818292,538346,128,10866,82,0.467%
bfs_matrix,32768:1:32,7639783,4340310,1912534,1085235,118057,127984,128257,8.207%
bfs_pointer,32768:1:32,297361,132180,76933,33192,59,2481,17,2.306%
conv2D,32768:1:32,3325479,1220578,833940,305293,60,5042,18,0.448%
fir,32768:1:32,27163089,15053144,6793348,3763456,388,34641,1931,0.332%
kmean,32768:1:32,39450765,8338606,9865279,2084826,125,10479,79,0.089%
mm,32768:1:32,8399467,4416818,2102419,1104347,69,7483,27,0.236%
quicksort,32768:1:32,12497859,12511653,3128446,3131433,203,19392,161,0.313%
sobel,32768:1:32,5781465,2145012,1818292,538346,128,10866,82,0.467%
bfs_matrix,65536:1:32,7639783,4340310,1912534,1085235,92354,127936,123373,7.348%
bfs_pointer,65536:1:32,297361,132180,76933,33192,59,2481,17,2.306%
conv2D,65536:1:32,3325479,1220578,833940,305293,60,5042,18,0.448%
fir,65536:1:32,27163089,15053144,6793348,3763456,312,34602,266,0.331%
kmean,65536:1:32,39450765,8338606,9865279,2084826,125,10479,79,0.089%
mm,65536:1:32,8399467,4416818,2102419,1104347,69,7483,27,0.236%
quicksort,65536:1:32,12497859,12511653,3128446,3131433,203,19392,161,0.313%
sobel,65536:1:32,5781465,2145012,1818292,538346,128,10866,82,0.467%
bfs_matrix,128:2:16,7639783,4340310,1912534,1085235,270637,263532,273599,17.819%
